DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MEAN HIGH-LOW,MEAN CLOSE-OPEN,TRENDS MEAN,UP|DOWN,POSITVE ANALZE TWEETS,NEGATIVE ANALZE TWEETS
2021-12-29,47666.0,48264.0,46982.0,47896.0,24.31,47623.0,47781.0,99.0,UP,29,10
2021-12-28,50808.0,50808.0,47602.0,47769.0,42.34,49205.0,49288.5,99.5,DOWN,29,10
2021-12-27,51041.0,52191.0,50846.0,51029.0,31.89,51518.5,51035.0,98.0,DOWN,28,10
2021-12-26,50770.0,51407.0,50016.0,51038.0,27.78,50711.5,50904.0,98.5,UP,28,10
2021-12-25,51249.0,51437.0,50751.0,50775.0,24.06,51094.0,51012.0,100.0,DOWN,29,10
2021-12-24,50907.0,51795.0,50747.0,51036.0,31.67,51271.0,50971.5,96.5,UP,28,10
2021-12-23,48847.0,51116.0,48342.0,50764.0,36.8,49729.0,49805.5,100.0,UP,29,10
2021-12-22,49236.0,49488.0,48748.0,48748.0,30.12,49118.0,48992.0,91.0,DOWN,28,10
2021-12-21,47141.0,49264.0,46956.0,48950.0,46.47,48110.0,48045.5,97.5,UP,28,10
2021-12-20,46853.0,46924.0,45266.0,46409.0,38.76,46095.0,46631.0,96.0,DOWN,28,10
2021-12-19,46958.0,48368.0,46697.0,46888.0,32.6,47532.5,46923.0,97.0,DOWN,28,10
2021-12-18,46266.0,47403.0,45885.0,46960.0,31.81,46644.0,46613.0,94.0,UP,28,10
2021-12-17,47666.0,48119.0,46033.0,46463.0,42.17,47076.0,47064.5,97.0,DOWN,29,10
2021-12-16,48924.0,49259.0,47797.0,47817.0,32.57,48528.0,48370.5,98.0,DOWN,29,10
2021-12-15,48419.0,49400.0,47198.0,48982.0,47.4,48299.0,48700.5,92.0,UP,29,10
2021-12-14,46841.0,48743.0,46712.0,48533.0,41.44,47727.5,47687.0,94.0,UP,27,10
2021-12-13,50157.0,50157.0,45975.0,46873.0,43.69,48066.0,48515.0,96.0,DOWN,27,10
2021-12-12,49579.0,50763.0,48963.0,50176.0,27.67,49863.0,49877.5,99.0,UP,27,10
2021-12-11,47367.0,49571.0,47267.0,49546.0,34.35,48419.0,48456.5,97.5,UP,27,10
2021-12-10,47713.0,49926.0,47147.0,47375.0,43.45,48536.5,47544.0,94.5,DOWN,27,11
2021-12-09,50607.0,50649.0,47615.0,47785.0,38.72,49132.0,49196.0,94.0,DOWN,26,11
2021-12-08,50772.0,51178.0,49221.0,50580.0,37.21,50199.5,50676.0,97.5,DOWN,26,11
2021-12-07,50607.0,51756.0,50427.0,50691.0,40.84,51091.5,50649.0,85.5,UP,26,11
2021-12-06,49671.0,50966.0,47921.0,50635.0,53.38,49443.5,50153.0,72.5,UP,26,11
2021-12-05,49437.0,49774.0,48301.0,49646.0,45.31,49037.5,49541.5,96.0,UP,26,10
2021-12-04,53890.0,53890.0,43261.0,49555.0,77.81,48575.5,51722.5,98.5,DOWN,26,10
2021-12-03,56576.0,57328.0,52244.0,53818.0,53.09,54786.0,55197.0,96.0,DOWN,26,9
2021-12-02,57272.0,57291.0,56231.0,56639.0,45.89,56761.0,56955.5,97.5,DOWN,26,9
2021-12-01,56978.0,58657.0,56853.0,57290.0,61.45,57755.0,57134.0,96.5,UP,26,9
2021-11-30,57844.0,59089.0,56502.0,57152.0,51.19,57795.5,57498.0,99.0,DOWN,26,9
2021-11-29,57447.0,58887.0,57120.0,57936.0,42.64,58003.5,57691.5,92.5,UP,26,9
2021-11-28,54943.0,57495.0,53848.0,57451.0,38.88,55671.5,56197.0,89.5,UP,27,8
2021-11-27,53982.0,55332.0,53977.0,54955.0,36.01,54654.5,54468.5,95.0,UP,26,9
2021-11-26,59067.0,59067.0,54013.0,54050.0,59.76,56540.0,56558.5,99.0,DOWN,26,8
2021-11-25,57352.0,59316.0,57352.0,59071.0,43.34,58334.0,58211.5,99.5,UP,24,9
2021-11-24,57509.0,57509.0,56084.0,57099.0,44.85,56796.5,57304.0,95.0,DOWN,24,8
2021-11-23,56377.0,58153.0,56158.0,57937.0,51.0,57155.5,57157.0,96.0,UP,23,8
2021-11-22,58774.0,59335.0,55994.0,56449.0,51.27,57664.5,57611.5,88.5,DOWN,23,8
2021-11-21,59783.0,59783.0,58792.0,58792.0,34.0,59287.5,59287.5,98.0,DOWN,22,8
2021-11-20,58144.0,59823.0,57893.0,59800.0,37.05,58858.0,58972.0,99.0,UP,23,8
2021-11-19,57043.0,58447.0,56407.0,58257.0,51.99,57427.0,57650.0,98.0,UP,23,8
2021-11-18,60418.0,60789.0,56808.0,57104.0,61.14,58798.5,58761.0,87.0,DOWN,23,8
